Title,Rating,Oscars,Total Nominations and Awards,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number
Cleopatra (1963),7.0,Won 4 Oscars,6 wins & 13 nominations total,Joseph L. Mankiewicz,"$57,777,778",G,248,92,32K
Alien³ (1992),6.5,Nominated for 1 Oscar,5 wins & 25 nominations total,David Fincher,"$159,814,498",R,990,267,290K
Avengers: Age of Ultron (2015),7.3,Awards,8 wins & 49 nominations,Joss Whedon,"$1,402,809,540",PG-13,1.3K,698,801K
Charlie and the Chocolate Factory (2005),6.6,Nominated for 1 Oscar,15 wins & 52 nominations total,Tim Burton,"$474,968,763",PG,1.4K,268,452K
Snowpiercer (2013),7.1,Awards,34 wins & 105 nominations,Bong Joon Ho,"$86,758,912",R,1K,501,344K
Blade Runner (1982),8.1,Nominated for 2 Oscars,12 wins & 19 nominations total,Ridley Scott,"$41,676,878",R,1.6K,277,730K
Titanic (1997),7.8,Won 11 Oscars,125 wins & 83 nominations total,James Cameron,"$2,201,647,264",PG-13,3K,337,1.1M
Brave (2012),7.1,Won 1 Oscar,20 wins & 48 nominations total,Mark Andrews,"$538,983,207",PG,552,513,391K
Raiders of the Lost Ark (1981),8.4,Won 5 Oscars,37 wins & 24 nominations total,Steven Spielberg,"$389,925,971",PG,1K,274,924K
The Spy in Black (1939),6.9,Awards,1 nomination,Michael Powell,"£47,300 (estimated)",Approved,22,24,2.1K
K-19: The Widowmaker (2002),6.7,Awards,1 win & 2 nominations,Kathryn Bigelow,"$65,716,126",PG-13,297,119,62K
The Grey (2011),6.8,Awards,2 wins & 8 nominations,Joe Carnahan,"$79,781,695",R,908,428,247K
Lady and the Tramp (1955),7.3,Awards,1 win & 2 nominations total,Clyde Geronimi,"Dec 21, 1986",G,163,123,129K
Inglourious Basterds (2009),8.3,Won 1 Oscar,133 wins & 172 nominations total,Quentin Tarantino,"$321,457,747",R,2K,412,1.3M
Speed (1994),7.2,Won 2 Oscars,20 wins & 20 nominations total,Jan de Bont,"$350,448,145",R,513,146,347K
Speed (1994),7.2,Won 2 Oscars,20 wins & 20 nominations total,Jan de Bont,"$350,448,145",R,513,146,347K
Total Recall (1990),7.5,Won 1 Oscar,7 wins & 16 nominations total,Paul Verhoeven,"$261,317,921",R,526,258,317K
The Thing from Another World (1951),7.1,Awards,1 win,Christian Nyby,"$1,600,000 (estimated)",Approved,329,116,29K
Giù la testa (1971),7.6,Awards,1 win & 2 nominations,Sergio Leone,$980,PG,157,97,33K
Field of Dreams (1989),7.5,Nominated for 3 Oscars,7 wins & 13 nominations total,Phil Alden Robinson,"$84,431,625",PG,376,90,115K
Per qualche dollaro in più (1965),8.2,Awards,2 nominations,Sergio Leone,"$15,000,000",R,325,98,246K
Marathon Man (1976),7.4,Nominated for 1 Oscar,4 wins & 11 nominations total,John Schlesinger,"$21,709,020",R,202,97,61K
"Three Billboards Outside Ebbing, Missouri (2017)",8.1,Won 2 Oscars,131 wins & 232 nominations total,Martin McDonagh,"$160,260,573",R,1.3K,576,472K
Hot Fuzz (2007),7.8,Awards,2 wins & 9 nominations,Edgar Wright,"$80,743,363",R,887,303,486K
Agora (2009),7.2,Awards,11 wins & 15 nominations,Alejandro Amenábar,"$39,457,342",R,206,190,68K
Top Gun: Maverick (2022),7.2,Awards,11 wins & 15 nominations,Alejandro Amenábar,Phi Công Siêu Đẳng Maverick,R,206,190,68K
Star Trek (2009),7.9,Won 1 Oscar,27 wins & 95 nominations total,J.J. Abrams,"$385,680,446",PG-13,1.7K,528,592K
Captain America: The First Avenger (2011),6.9,Awards,4 wins & 46 nominations,Joe Johnston,"$370,569,774",PG-13,1K,571,792K
Rain Man (1988),8.0,Won 4 Oscars,26 wins & 23 nominations total,Barry Levinson,"$354,825,435",R,489,102,493K
Pitch Perfect (2012),7.1,Awards,7 wins & 20 nominations,Jason Moore,"$115,350,426",PG-13,359,244,292K
Cars 3 (2017),6.7,Awards,1 win & 24 nominations,Brian Fee,"$383,930,656",G,378,279,87K
2001: A Space Odyssey (1968),8.3,Won 1 Oscar,16 wins & 12 nominations total,Stanley Kubrick,"$65,802,496",G,2.3K,284,636K
Interstellar (2014),8.6,Won 1 Oscar,44 wins & 148 nominations total,Christopher Nolan,"$701,729,206",PG-13,4.8K,633,1.6M
2012 (2009),5.8,Awards,5 wins & 21 nominations,Roland Emmerich,"$791,217,826",PG-13,1.2K,240,366K
Everest (2015),7.1,Awards,1 win & 8 nominations,Baltasar Kormákur,"$203,427,584",PG-13,367,398,210K
Captain Phillips (2013),7.8,Nominated for 6 Oscars,16 wins & 154 nominations total,Paul Greengrass,2.35 : 1,PG-13,678,515,441K
Exodus: Gods and Kings (2014),6.0,Awards,5 nominations,Ridley Scott,"$268,175,631",PG-13,782,336,165K
Noah (2014),5.7,Awards,1 win & 19 nominations,Darren Aronofsky,"$359,200,044",PG-13,1.4K,451,250K
Clash of the Titans (1981),6.9,Awards,2 wins & 6 nominations,Desmond Davis,"$41,092,328",PG,220,111,43K
Timecop (1994),5.9,Awards,1 win & 4 nominations,Peter Hyams,"$101,646,581",R,168,97,58K
The Italian Job (1969),7.3,Awards,1 nomination,Peter Collinson,"$113,867",G,208,63,45K
Gone in 60 Seconds (1974),6.4,Awards,1 nomination,Peter Collinson,"$150,000 (estimated)",G,208,63,45K
The Hunger Games (2012),7.2,Awards,33 wins & 48 nominations total,Gary Ross,"$694,394,724",PG-13,2.1K,492,879K
The Lord of the Rings: The Two Towers (2002),8.7,Won 2 Oscars,126 wins & 138 nominations total,Peter Jackson,"$947,495,095",PG-13,2.6K,328,1.6M
Harry Potter and the Chamber of Secrets (2002),7.4,Awards,13 wins & 46 nominations total,Chris Columbus,"$879,602,366",PG,998,248,589K
Dracula (1992),7.4,Won 3 Oscars,24 wins & 25 nominations total,Francis Ford Coppola,"$215,862,692",R,813,202,207K
Finding Dory (2016),7.3,Awards,17 wins & 46 nominations total,Andrew Stanton,"$1,028,570,942",PG,472,425,258K
What We Do in the Shadows (TV Series 2016– ),8.6,Nominated for 10 Primetime Emmys,8 wins & 47 nominations total,Jemaine Clement,Chúng Ta Làm Gì Trong Bóng Tối,TV-MA,405,37,57K
Mission: Impossible (1996),7.1,Awards,3 wins & 17 nominations,Brian De Palma,"$457,696,391",PG-13,497,205,406K
Aquaman (2018),6.9,Awards,2 wins & 39 nominations,James Wan,"$1,148,485,886",PG-13,4.3K,461,423K
True Grit (2010),7.6,Nominated for 10 Oscars,38 wins & 169 nominations total,Ethan Coen,"$252,276,927",PG-13,842,532,326K
The Naked Gun: From the Files of Police Squad! (1988),7.6,Awards,1 nomination,David Zucker,"$78,756,177",PG-13,244,102,162K
Ghostbusters II (1989),6.6,Awards,2 wins & 1 nomination,Ivan Reitman,2.39 : 1,PG,268,140,195K
The Silence of the Lambs (1991),8.6,Won 5 Oscars,69 wins & 51 nominations total,Jonathan Demme,"$272,742,922",R,1.4K,246,1.3M
Star Wars: Episode V - The Empire Strikes Back (1980),8.7,Won 2 Oscars,25 wins & 20 nominations total,Irvin Kershner,"May 25, 1980",PG,1.3K,238,1.2M
Sweeney Todd: The Demon Barber of Fleet Street (2007),7.3,Won 1 Oscar,34 wins & 77 nominations total,Tim Burton,"$153,383,627",R,903,388,356K
The Godfather (1972),9.2,Won 3 Oscars,31 wins & 30 nominations total,Francis Ford Coppola,"$246,120,986",R,4.7K,269,1.7M
Toy Story (1995),8.3,Won 1 Oscar,27 wins & 23 nominations total,John Lasseter,"Nov 26, 1995",G,699,164,936K
Salem's Lot (TV Mini Series 1979),6.8,Nominated for 3 Primetime Emmys,4 nominations total,David Soul,PG,PG,250,85,23K
My Own Private Idaho (1991),7.0,Awards,12 wins & 10 nominations,Gus Van Sant,"$6,401,336",R,183,73,54K
John Wick: Chapter 2 (2017),7.5,Awards,4 wins & 10 nominations,Chad Stahelski,"$171,547,802",R,952,487,400K
Transformers (2007),7.0,Nominated for 3 Oscars,25 wins & 50 nominations total,Michael Bay,"$709,709,780",PG-13,1.9K,401,617K
Indiana Jones and the Temple of Doom (1984),7.5,Won 1 Oscar,11 wins & 21 nominations total,Steven Spielberg,"$333,107,271",PG,744,170,469K
Star Trek Into Darkness (2013),7.7,Nominated for 1 Oscar,7 wins & 59 nominations total,J.J. Abrams,"$467,365,246",PG-13,1.2K,631,474K
Pirates of the Caribbean: Dead Man's Chest (2006),7.3,Won 1 Oscar,45 wins & 54 nominations total,Gore Verbinski,"$1,066,179,747",PG-13,1.9K,326,681K
Black Swan (2010),8.0,Won 1 Oscar,97 wins & 279 nominations total,Darren Aronofsky,"$329,398,046",R,1.3K,711,730K
Spider-Man (2002),7.3,Nominated for 2 Oscars,16 wins & 63 nominations total,Sam Raimi,"$825,025,036",PG-13,2.2K,334,736K
Army of Darkness (1992),7.5,Awards,12 wins & 7 nominations,Sam Raimi,"$11,505,128",R,686,257,170K
The Lord of the Rings: The Return of the King (2003),8.9,Won 11 Oscars,209 wins & 124 nominations total,Peter Jackson,"$1,146,030,912",PG-13,3.9K,361,1.7M
2010: The Year We Make Contact (1984),6.8,Nominated for 5 Oscars,1 win & 8 nominations total,Peter Hyams,2.39 : 1,PG,270,94,52K
2010: The Year We Make Contact (1984),6.8,Nominated for 5 Oscars,1 win & 8 nominations total,Peter Hyams,2.39 : 1,PG,270,94,52K
Captain Marvel (2019),6.8,Awards,9 wins & 52 nominations,Anna Boden,"$1,128,462,972",PG-13,7.3K,532,502K
The Towering Inferno (1974),7.0,Won 3 Oscars,12 wins & 13 nominations total,John Guillermin,"$116,000,000",PG,252,93,42K
Die Hard (1988),8.2,Nominated for 4 Oscars,8 wins & 6 nominations total,John McTiernan,"$141,603,197",R,1K,215,828K
Shaft (2019),6.4,Nominated for 4 Oscars,8 wins & 6 nominations total,John McTiernan,"$21,360,215",R,1K,215,828K
Eternal Sunshine of the Spotless Mind (2004),8.3,Won 1 Oscar,73 wins & 111 nominations total,Michel Gondry,"$74,036,715",R,1.9K,311,956K
Robin Hood (2010),6.6,Awards,1 win & 14 nominations,Ridley Scott,"$321,669,741",PG-13,654,343,262K
Waterworld (1995),6.2,Nominated for 1 Oscar,6 wins & 9 nominations total,Kevin Reynolds,"$264,218,220",PG-13,429,135,190K
Mad Max Beyond Thunderdome (1985),6.3,Awards,1 win & 8 nominations,George Miller,"$36,230,219",PG-13,258,145,132K
Midnight Cowboy (1969),7.8,Won 3 Oscars,28 wins & 16 nominations total,John Schlesinger,"$44,785,053",X,415,136,107K
Bridge of Spies (2015),7.6,Won 1 Oscar,30 wins & 103 nominations total,Steven Spielberg,"$165,478,348",PG-13,509,508,301K
Gods of Egypt (2016),5.4,Awards,2 wins & 14 nominations,Alex Proyas,"$150,680,864",PG-13,537,217,112K
San Andreas (2015),6.1,Awards,2 wins & 10 nominations,Brad Peyton,"$474,009,154",PG-13,680,406,226K
Anchorman: The Legend of Ron Burgundy (2004),7.2,Awards,1 win & 13 nominations,Adam McKay,"$90,709,367",PG-13,638,169,343K
Gone in Sixty Seconds (2000),6.5,Awards,9 wins & 6 nominations,Dominic Sena,"$237,202,299",PG-13,571,131,270K
Shrek (2001),7.9,Won 1 Oscar,40 wins & 60 nominations total,Andrew Adamson,"May 20, 2001",PG,1.1K,176,644K
The Terminal (2004),7.4,Awards,7 wins & 8 nominations,Steven Spielberg,"$219,100,084",PG-13,797,157,434K
Alien: Resurrection (1997),6.2,Awards,7 wins & 21 nominations,Jean-Pierre Jeunet,"$161,376,069",R,781,252,239K
Star Wars: Episode I - The Phantom Menace (1999),6.5,Nominated for 3 Oscars,26 wins & 69 nominations total,George Lucas,"$1,027,082,707",PG,3.9K,363,762K
Predator 2 (1990),6.3,Awards,1 win & 4 nominations,Stephen Hopkins,"Nov 25, 1990",R,420,109,155K
Wall Street (1987),7.4,Won 1 Oscar,10 wins & 5 nominations total,Oliver Stone,"$43,848,069",R,249,124,150K
Black Hawk Down (2001),7.7,Won 2 Oscars,11 wins & 37 nominations total,Ridley Scott,"$172,989,651",R,1.1K,222,380K
Young Guns (1988),6.9,Awards,1 win & 2 nominations,Christopher Cain,"$45,661,556",R,152,47,59K
Daddy's Home (2015),6.2,Awards,1 win & 4 nominations,Sean Anders,"$242,786,137",PG-13,214,177,115K
Mudbound (2017),7.4,Nominated for 4 Oscars,36 wins & 118 nominations total,Dee Rees,"$85,955",R,161,176,47K
Lawless (2012),7.3,Awards,1 win & 8 nominations,John Hillcoat,"$55,404,207",R,348,370,236K
Road to Perdition (2002),7.7,Won 1 Oscar,23 wins & 82 nominations total,Sam Mendes,"$181,001,478",R,1.1K,214,259K
Scream (1996),7.3,Awards,11 wins & 11 nominations,Wes Craven,"$173,046,663",R,1.1K,291,313K
The Other Guys (2010),6.7,Awards,3 wins & 15 nominations,Adam McKay,"$170,458,922",PG-13,439,284,255K
Blood Diamond (2006),8.0,Nominated for 5 Oscars,8 wins & 32 nominations total,Edward Zwick,"$171,720,398",R,758,182,524K
Donnie Darko (2001),8.0,Awards,12 wins & 16 nominations,Richard Kelly,"$6,981,586",R,2.3K,393,770K
Nightcrawler (2014),7.8,Nominated for 1 Oscar,42 wins & 124 nominations total,Dan Gilroy,"$47,398,992",R,898,574,503K
Cocktail (1988),5.9,Awards,5 wins & 6 nominations,Roger Donaldson,"$171,504,781",R,153,63,83K
Rope (1948),8.0,Awards,2 wins & 4 nominations,Alfred Hitchcock,"$10,590",Approved,432,135,137K
Million Dollar Baby (2004),8.1,Won 4 Oscars,67 wins & 86 nominations total,Clint Eastwood,"$216,763,646",PG-13,1.2K,270,662K
Reservoir Dogs (1992),8.3,Awards,12 wins & 23 nominations,Quentin Tarantino,"$2,913,644",R,1.2K,198,967K
Master and Commander: The Far Side of the World (2003),7.4,Won 2 Oscars,23 wins & 90 nominations total,Peter Weir,"$211,622,535",PG-13,776,267,213K
Rocky II (1979),7.3,Awards,2 wins & 2 nominations,Sylvester Stallone,"Jun 17, 1979",PG,246,96,201K
Dead Poets Society (1989),8.1,Won 1 Oscar,20 wins & 19 nominations total,Peter Weir,"$235,860,116",PG,717,114,455K
X2 (2003),7.4,Awards,6 wins & 41 nominations,Bryan Singer,"$407,711,549",PG-13,1.1K,170,531K
Deadpool (2016),8.0,Awards,28 wins & 78 nominations,Tim Miller,"$782,836,791",R,1.5K,666,961K
Big Trouble in Little China (1986),7.3,Awards,1 win & 1 nomination,John Carpenter,"$11,100,577",PG-13,429,239,133K
Interview with the Vampire: The Vampire Chronicles (1994),7.5,Nominated for 2 Oscars,24 wins & 36 nominations total,Neil Jordan,"$223,664,608",R,497,75,307K
Breakdown (1997),6.9,Awards,1 win & 2 nominations,Jonathan Mostow,"$50,159,144",R,297,103,53K
Tootsie (1982),7.4,Won 1 Oscar,25 wins & 30 nominations total,Sydney Pollack,"$177,200,000",PG,262,100,103K
Nuovo Cinema Paradiso (1988),8.5,Won 1 Oscar,25 wins & 32 nominations total,Giuseppe Tornatore,"$13,019,063",PG,575,137,248K
Sin City (2005),8.0,Awards,38 wins & 54 nominations,Frank Miller,"$158,733,820",R,1.8K,390,753K
Westworld (1973),7.0,Awards,4 nominations,Michael Crichton,"$1,250,000 (estimated)",PG,233,119,56K
The Magnificent Seven (1960),7.7,Nominated for 1 Oscar,2 wins & 6 nominations total,John Sturges,"$2,000,000 (estimated)",Approved,312,137,92K
The Hobbit: An Unexpected Journey (2012),7.8,Nominated for 3 Oscars,11 wins & 75 nominations total,Peter Jackson,"$1,017,003,568",PG-13,1.4K,674,786K
Mission: Impossible - Fallout (2018),7.7,Awards,24 wins & 40 nominations total,Christopher McQuarrie,"$791,657,398",PG-13,1.7K,473,311K
Erin Brockovich (2000),7.4,Won 1 Oscar,33 wins & 59 nominations total,Steven Soderbergh,"$256,271,286",R,554,152,188K
One Flew Over the Cuckoo's Nest (1975),8.7,Won 5 Oscars,38 wins & 16 nominations total,Milos Forman,"$109,114,817",R,1K,186,962K
Men in Black (1997),7.3,Won 1 Oscar,22 wins & 39 nominations total,Barry Sonnenfeld,"$589,390,539",PG-13,378,165,541K
Captain America: Civil War (2016),7.8,Awards,16 wins & 72 nominations,Anthony Russo,"$1,153,337,496",PG-13,1.5K,672,720K
Sherlock Holmes (2009),7.6,Nominated for 2 Oscars,10 wins & 31 nominations total,Guy Ritchie,"$524,028,679",PG-13,740,427,608K
Bill & Ted's Excellent Adventure (1989),7.0,Awards,3 nominations,Stephen Herek,"$40,508,994",PG,274,127,126K
Mud (2012),7.4,Awards,15 wins & 39 nominations,Jeff Nichols,"$32,613,173",PG-13,339,394,175K
Hercules (2014),6.0,Awards,2 nominations,Brett Ratner,"$244,819,862",PG-13,320,262,152K
Harry Potter and the Prisoner of Azkaban (2004),7.9,Nominated for 2 Oscars,17 wins & 53 nominations total,Alfonso Cuarón,"$797,361,618",PG,1.6K,301,588K
Butch Cassidy and the Sundance Kid (1969),8.0,Won 4 Oscars,21 wins & 15 nominations total,George Roy Hill,"$102,310,697",PG,455,114,210K
Kick-Ass (2010),7.6,Awards,19 wins & 62 nominations,Matthew Vaughn,"$96,188,903",R,879,475,543K
Toy Story 2 (1999),7.9,Nominated for 1 Oscar,21 wins & 27 nominations total,John Lasseter,"Nov 21, 1999",G,654,211,553K
Crash (2004),7.7,Won 3 Oscars,66 wins & 112 nominations total,Paul Haggis,"$98,410,061",R,1.7K,289,429K
The Blind Side (2009),7.6,Won 1 Oscar,9 wins & 30 nominations total,John Lee Hancock,"$309,208,309",PG-13,559,277,312K
Cape Fear (1991),7.3,Nominated for 2 Oscars,5 wins & 21 nominations total,Martin Scorsese,"$182,291,969",R,373,145,185K
Goodfellas (1990),8.7,Won 1 Oscar,44 wins & 38 nominations total,Martin Scorsese,"$46,963,277",R,1.4K,155,1.1M
Teenage Mutant Ninja Turtles (1990),6.8,Awards,3 wins & 3 nominations,Steve Barron,"$201,965,915",PG,238,134,90K
Pi li shi jie (1985),6.5,Awards,3 wins & 3 nominations,Steve Barron,Disciples of the 36th Chamber,PG,238,134,90K
Mission: Impossible - Ghost Protocol (2011),7.4,Awards,5 wins & 30 nominations,Brad Bird,"$694,713,380",PG-13,616,285,473K
John Wick: Chapter 3 - Parabellum (2019),7.4,Awards,17 wins & 27 nominations,Chad Stahelski,"$327,281,779",R,2.3K,396,312K
Wedding Crashers (2005),6.9,Awards,11 wins & 11 nominations,David Dobkin,"$288,467,645",R,689,186,344K
Dirty Dancing (1987),7.0,Won 1 Oscar,11 wins & 6 nominations total,Emile Ardolino,"$214,577,242",PG-13,510,118,217K
The Hunger Games: Catching Fire (2013),7.5,Awards,22 wins & 68 nominations,Francis Lawrence,"$865,011,746",PG-13,757,529,638K
Harry Potter and the Goblet of Fire (2005),7.7,Nominated for 1 Oscar,13 wins & 44 nominations total,Mike Newell,"$896,678,241",PG-13,2K,324,581K
Aladdin (1992),8.0,Won 2 Oscars,33 wins & 22 nominations total,Ron Clements,"Nov 15, 1992",G,366,157,390K
Focus (2015),6.6,Awards,3 nominations,Glenn Ficarra,"$158,762,963",R,314,306,234K
Blade Runner 2049 (2017),8.0,Won 2 Oscars,99 wins & 158 nominations total,Denis Villeneuve,"$259,334,548",R,2.3K,648,516K
Prometheus (2012),7.0,Nominated for 1 Oscar,6 wins & 47 nominations total,Ridley Scott,"$403,354,469",R,2.6K,552,589K
Terminator 2: Judgment Day (1991),8.5,Won 4 Oscars,36 wins & 33 nominations total,James Cameron,"$520,881,154",R,1.4K,313,1M
28 Weeks Later (2007),6.9,Awards,3 wins & 16 nominations,Juan Carlos Fresnadillo,"$65,048,678",R,838,131,268K
Indiana Jones and the Last Crusade (1989),8.2,Won 1 Oscar,8 wins & 22 nominations total,Steven Spielberg,"$474,171,806",PG-13,637,180,723K
Enter the Dragon (1973),7.7,Awards,1 win,Robert Clouse,"$42,805",R,343,177,102K
The Lord of the Rings (1978),6.2,Awards,1 win & 3 nominations,Ralph Bakshi,"$30,471,420",PG,343,78,32K
Goon (2011),6.8,Awards,1 win & 13 nominations,Michael Dowse,"$6,985,158",R,183,155,86K
El laberinto del fauno (2006),8.2,Won 3 Oscars,110 wins & 115 nominations total,Guillermo del Toro,"$83,850,267",R,1.3K,466,643K
Forrest Gump (1994),8.8,Won 6 Oscars,50 wins & 75 nominations total,Robert Zemeckis,"$678,226,133",PG-13,2.7K,171,1.9M
Superbad (2007),7.6,Awards,11 wins & 24 nominations,Greg Mottola,"$170,812,526",R,747,253,548K
Moneyball (2011),7.6,Nominated for 6 Oscars,29 wins & 82 nominations total,Bennett Miller,"$110,206,216",PG-13,472,438,397K
Ocean's Eleven (1960),6.6,Awards,2 nominations,Lewis Milestone,"$2,800,000 (estimated)",Approved,148,66,22K
X-Men Origins: Wolverine (2009),6.6,Awards,3 wins & 21 nominations,Gavin Hood,"$373,062,864",PG-13,759,252,485K
Unbreakable (2000),7.3,Awards,2 wins & 15 nominations,M. Night Shyamalan,"$248,118,121",PG-13,1.5K,307,404K
Wanted (2008),6.7,Nominated for 2 Oscars,4 wins & 25 nominations total,Timur Bekmambetov,"$342,463,063",R,830,314,377K
American Pie (1999),7.0,Awards,9 wins & 14 nominations,Paul Weitz,"$235,483,004",R,845,98,392K
Maleficent: Mistress of Evil (2019),6.6,Nominated for 1 Oscar,1 win & 11 nominations total,Joachim Rønning,"$491,730,089",PG,748,233,96K
47 Ronin (2013),6.3,Awards,5 nominations,Carl Rinsch,"$151,783,839",PG-13,410,232,155K
R.I.P.D. (2013),5.6,Awards,5 nominations,Carl Rinsch,"$78,324,220",PG-13,410,232,155K
Ace Ventura: When Nature Calls (1995),6.4,Awards,7 wins & 6 nominations,Steve Oedekerk,"$212,385,533",PG-13,218,72,210K
Tropic Thunder (2008),7.0,Nominated for 1 Oscar,10 wins & 47 nominations total,Ben Stiller,"$195,702,963",R,692,332,397K
The Jungle Book (1967),7.6,Nominated for 1 Oscar,6 wins & 3 nominations total,Wolfgang Reitherman,"$205,843,612",G,184,124,174K
127 Hours (2010),7.5,Nominated for 6 Oscars,23 wins & 150 nominations total,Danny Boyle,"$60,738,797",R,517,467,363K
Fargo (1996),8.1,Won 2 Oscars,83 wins & 58 nominations total,Joel Coen,"$60,611,975",R,1K,243,648K
Planet Terror (2007),7.0,Awards,3 nominations,Robert Rodriguez,"$11,446,172",R,295,179,206K
"Good Morning, Vietnam (1987)",7.3,Nominated for 1 Oscar,7 wins & 4 nominations total,Barry Levinson,"$123,922,370",R,174,64,134K
Snatch (2000),8.3,Awards,4 wins & 7 nominations,Guy Ritchie,"$83,557,872",R,896,167,818K
Ender's Game (2013),6.6,Awards,1 win & 6 nominations,Gavin Hood,"$125,544,024",PG-13,658,344,233K
This Means War (2012),6.3,Awards,1 win & 6 nominations,McG,2.35 : 1,PG-13,296,250,182K
